origin,exception
смт Нові Санжари Полтавської області,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81%D0%BC%D1%82+%D0%9D%D0%BE%D0%B2%D1%96+%D0%A1%D0%B0%D0%BD%D0%B6%D0%B0%D1%80%D0%B8+%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96&components=&sensor=false&language=&bounds="
м. Надвірна Івано-Франківської обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.+%D0%9D%D0%B0%D0%B4%D0%B2%D1%96%D1%80%D0%BD%D0%B0+%D0%86%D0%B2%D0%B0%D0%BD%D0%BE-%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
Iвано-Франкiвськ,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=I%D0%B2%D0%B0%D0%BD%D0%BE-%D0%A4%D1%80%D0%B0%D0%BD%D0%BAi%D0%B2%D1%81%D1%8C%D0%BA&components=&sensor=false&language=&bounds="
Рiвне,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%A0i%D0%B2%D0%BD%D0%B5&components=&sensor=false&language=&bounds="
"м. Донецьк донедавна, м.Київ - наразі","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.+%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D1%8C%D0%BA+%D0%B4%D0%BE%D0%BD%D0%B5%D0%B4%D0%B0%D0%B2%D0%BD%D0%B0%2C+%D0%BC.%D0%9A%D0%B8%D1%97%D0%B2+-+%D0%BD%D0%B0%D1%80%D0%B0%D0%B7%D1%96&components=&sensor=false&language=&bounds="
місто Макіївка Донецької області,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC%D1%96%D1%81%D1%82%D0%BE+%D0%9C%D0%B0%D0%BA%D1%96%D1%97%D0%B2%D0%BA%D0%B0+%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96&components=&sensor=false&language=&bounds="
Станіславів,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D0%B2%D1%96%D0%B2&components=&sensor=false&language=&bounds="
с.Сергіївка Братський рн Миколаївська обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81.%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D1%97%D0%B2%D0%BA%D0%B0+%D0%91%D1%80%D0%B0%D1%82%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D1%80%D0%BD+%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
"Чернівецька обл., м. Вижниця","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%A7%D0%B5%D1%80%D0%BD%D1%96%D0%B2%D0%B5%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB.%2C+%D0%BC.+%D0%92%D0%B8%D0%B6%D0%BD%D0%B8%D1%86%D1%8F&components=&sensor=false&language=&bounds="
Днiпропетровськ,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%94%D0%BDi%D0%BF%D1%80%D0%BE%D0%BF%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%81%D1%8C%D0%BA&components=&sensor=false&language=&bounds="
